date,store_id,product_id,base_price,ensemble_forecast,target_service_level,safety_stock,reorder_point,recommended_order_quantity
2025-10-31,S001,P001,78.35,65.35677314546055,0.99,23.0,220.0,220.0
2025-11-01,S001,P001,78.35,63.217237686112405,0.99,23.0,213.0,213.0
2025-11-02,S001,P001,78.35,62.58948790550704,0.99,23.0,211.0,211.0
2025-11-03,S001,P001,78.35,64.0622453431462,0.99,23.0,216.0,216.0
2025-11-04,S001,P001,78.35,62.696027992130055,0.99,23.0,212.0,212.0
2025-11-05,S001,P001,78.35,63.56382505464968,0.99,23.0,214.0,214.0
2025-11-06,S001,P001,78.35,64.63705049163732,0.99,23.0,217.0,217.0
2025-11-07,S001,P001,78.35,64.80278290331435,0.99,23.0,218.0,218.0
2025-11-08,S001,P001,78.35,62.50075850658828,0.99,23.0,211.0,211.0
2025-11-09,S001,P001,78.35,62.165279386383304,0.99,23.0,210.0,210.0
2025-11-11,S001,P001,78.35,64.73125848845119,0.99,23.0,218.0,218.0
2025-11-12,S001,P001,78.35,63.948813796736786,0.99,23.0,215.0,215.0
2025-11-13,S001,P001,78.35,64.21049933276716,0.99,23.0,216.0,216.0
2025-11-14,S001,P001,78.35,67.10639284531632,0.99,23.0,225.0,225.0
2025-11-15,S001,P001,78.35,67.04397965762811,0.99,23.0,225.0,225.0
2025-11-16,S001,P001,78.35,64.59074066129267,0.99,23.0,217.0,217.0
2025-11-18,S001,P001,78.35,109.0932170159412,0.99,23.0,351.0,351.0
2025-11-19,S001,P001,78.35,65.03233836044073,0.99,23.0,219.0,219.0
2025-11-20,S001,P001,78.35,64.03621912343824,0.99,23.0,216.0,216.0
2025-11-21,S001,P001,78.35,106.1720024835653,0.99,23.0,342.0,342.0
2025-11-22,S001,P001,78.35,64.8273850555627,0.99,23.0,218.0,218.0
2025-11-23,S001,P001,78.35,65.33583559162938,0.99,23.0,220.0,220.0
2025-11-24,S001,P001,78.35,62.60390625715917,0.99,23.0,211.0,211.0
2025-11-25,S001,P001,78.35,62.43494439464462,0.99,23.0,211.0,211.0
2025-11-26,S001,P001,78.35,64.2255500378502,0.99,23.0,216.0,216.0
2025-11-27,S001,P001,78.35,63.18257678168268,0.99,23.0,213.0,213.0
2025-11-28,S001,P001,78.35,63.594887546594876,0.99,23.0,214.0,214.0
2025-11-29,S001,P001,78.35,65.16077541339209,0.99,23.0,219.0,219.0
2025-11-30,S001,P001,78.35,66.16686465185134,0.99,23.0,222.0,222.0
2025-12-02,S001,P001,78.35,63.51144670043777,0.99,23.0,214.0,214.0
2025-12-03,S001,P001,78.35,63.441426640901746,0.99,23.0,214.0,214.0
2025-12-04,S001,P001,78.35,65.29871891435634,0.99,23.0,219.0,219.0
2025-12-05,S001,P001,78.35,64.2985961525736,0.99,23.0,216.0,216.0
2025-12-06,S001,P001,78.35,64.52221863928756,0.99,23.0,217.0,217.0
2025-12-07,S001,P001,78.35,65.668152206158,0.99,23.0,221.0,221.0
2025-12-08,S001,P001,78.35,66.07499065116022,0.99,23.0,222.0,222.0
2025-12-09,S001,P001,78.35,63.62296663590388,0.99,23.0,214.0,214.0
2025-12-10,S001,P001,78.35,62.46994639326238,0.99,23.0,211.0,211.0
2025-12-11,S001,P001,78.35,64.72004567355293,0.99,23.0,218.0,218.0
2025-12-12,S001,P001,78.35,63.63205898965102,0.99,23.0,214.0,214.0
2025-12-13,S001,P001,78.35,64.90225702262964,0.99,23.0,218.0,218.0
2025-12-14,S001,P001,78.35,66.07515286977352,0.99,23.0,222.0,222.0
2025-12-15,S001,P001,78.35,66.43228008735875,0.99,23.0,223.0,223.0
2025-12-16,S001,P001,78.35,63.496445647297726,0.99,23.0,214.0,214.0
2025-12-17,S001,P001,78.35,64.59825099669723,0.99,23.0,217.0,217.0
2025-12-18,S001,P001,78.35,66.3450028801372,0.99,23.0,223.0,223.0
2025-12-19,S001,P001,78.35,66.17539121149409,0.99,23.0,222.0,222.0
2025-12-20,S001,P001,78.35,64.75353831063481,0.99,23.0,218.0,218.0
2025-12-21,S001,P001,78.35,65.42006552069373,0.99,23.0,220.0,220.0
2025-12-22,S001,P001,78.35,66.83538403771743,0.99,23.0,224.0,224.0
2025-12-23,S001,P001,78.35,63.30473720446793,0.99,23.0,213.0,213.0
2025-12-24,S001,P001,78.35,63.68221928116237,0.99,23.0,215.0,215.0
2025-12-25,S001,P001,78.35,108.7317036322537,0.99,23.0,350.0,350.0
2025-12-26,S001,P001,78.35,63.928148405871326,0.99,23.0,215.0,215.0
2025-12-27,S001,P001,78.35,64.0782616762767,0.99,23.0,216.0,216.0
2025-12-28,S001,P001,78.35,65.42609000327897,0.99,23.0,220.0,220.0
2025-12-29,S001,P001,78.35,107.23472860392084,0.99,23.0,345.0,345.0
2025-12-30,S001,P001,78.35,63.204686400187946,0.99,23.0,213.0,213.0
2025-10-31,S001,P002,153.15,56.1325404426158,0.9834934766090222,21.0,190.0,190.0
2025-11-01,S001,P002,153.15,58.53233017410371,0.9834934766090222,21.0,197.0,197.0
2025-11-02,S001,P002,153.15,55.02278714315544,0.9834934766090222,21.0,187.0,187.0
